Company,Address,BBBRating,Phone,BusinessStarted,NumberEmployees,BusinessCategories
Paw'et LLC,"158 Hawthorne Dr, Hattiesburg, MS 39402-7217",A+,(601) 818-1570,4/2/2018,,"Dog Boarding, Pet Grooming, Pet Services, Pet Transport, Pet Food"
Paws & Claws Pet Services,"Watauga, TX 76148-3523",A+,(817) 380-8480,2/3/2015,,"Pet Sitting, Pool Maintenance, Pet Transport, House Sitting, Dog Walker"
Safe & Kind Pet Transport,"61090 Navajo Trail, Joshua Tree, CA 92252",,(909) 775-0244,2/18/2019,,Pet Transport
Peticular Transport LLC,"286 Dickie Ave, Staten Island, NY 10314-3141",A,(917) 838-0184,6/14/2022,,"Pet Transport, Dog Boarding, Pet Services"
"Alventura Pet Transport, LLC","Kalispell, MT 59901-9207",A,(406) 402-8291,10/8/2022,,Pet Transport
Sky Cargo International,"15301 N Dallas Pky, Addison, TX 75001",C+,(719) 772-9207,,,Pet Transport
Morz Xpress,"2561 Valley View Ln, Farmers Branch, TX 75234-6189",,(469) 518-1001,,,Pet Transport
"Air Animal, Inc.","15301 N Dallas Pkwy, Addison, TX 75001",,(415) 323-0261,,,Pet Transport
Shippers Logistic,"2831 S Walton Walker Blvd, Dallas, TX 75211",A+,(805) 395-4599,,,Pet Transport
Pets Home Relocator,"15301 N Dallas Pky, Prestonwood, Addison, TX 75001",A+,(970) 460-7733,,,Pet Transport
North Dallas Pet Sitters,"1209 Golden Gate Drive, Carrollton, TX 75007",A+,(972) 415-3707,4/1/2004,,"Pet Sitting, Pet Transport, Pet Training, Pet Exercise"
"Your Home Pet Care, LLC","1624 Navaro St, Dallas, TX 75208-1539",A+,(214) 701-2750,10/7/2015,,"Pet Exercise, Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal"
"Buddy's Pet Resort, LLC","186 Rock Hollow Rd, Birdsboro, PA 19508-8048",A+,(610) 404-1842,2/4/2015,,"Pet Sitting, Pet Grooming, Mobile Pet Grooming, Pet Boarding, Pet Services, Pet Transport, Pet Training, Pet Day Care"
"Pet Air, Inc.","1527 Grand Blvd, Kansas City, MO 64108-1403",A+,(816) 471-3852,1/1/1976,,Pet Transport
"Noble Steed Transport, LLC","Raleigh, NC 27609-0010",A,(855) 726-7743,5/1/2023,,"Medical Transportation, Taxi, Airport Transportation, Pet Transport, Concierge Service, Couriers, Wheelchair Accessible Vehicles"
Rocky Mountain Animal Transport Services LLC,"Bailey, CO 80421",A,(303) 204-9342,2/10/2023,,Pet Transport
Waggin Wheels Pet Transport LLC,"Bradenton, FL 34203-5528",A,(850) 713-8184,1/20/2023,,"Pet Transport, Pet Services"
Luxury Pet Transportation,"11411 S Granite Ave, Tulsa, OK 74137-8110",D+,(539) 328-4935,,,Pet Transport
Most Amazing Doodles,"8008 Herb Kelleher Way, Dallas, TX 75235",,(409) 768-0175,,,Pet Transport
Just Like Home Pet Sitting and Services LLC,"Cleveland, MO 64734",A+,(619) 957-1179,12/2/2019,,"Pet Sitting, Pet Transport, House Sitting"
Delifurry Pet Transport,"10931 County Road 579, Anna, TX 75409",A-,(877) 335-4387,,,Pet Transport
"Wiggle Your Tail Pet Care, LLC","Sarasota, FL 34232-2129",A,(941) 280-5156,6/20/2022,,"Pet Sitting, Pet Grooming, Pet Boarding, Dog Training, Pet Services, Pet Transport, Pet Day Care, Pet Exercise, Pet Photographer, Dog Walkers"
Roll’n Bones Transport LLC,"9722 Hidden Swan, San Antonio, TX 78250",A-,(210) 685-6884,9/1/2023,,Pet Transport
Angel Pets Animal Resource Center,"885 Allegheny St, Dauphin, PA 17018-8905",A+,(717) 580-1879,10/17/2000,,Pet Transport
Angel Pets Animal Resource Center,"PO Box 236, Dauphin, PA 17018-0236",A+,(717) 580-1879,10/17/2000,,Pet Transport
R&R In Home Animal Care Service,"1162 Shadyglen Cir, Richardson, TX 75081-3719",,(469) 286-7937,6/1/2010,,"Pet Sitting, Mobile Pet Grooming, Pet Boarding, Pet Services, Pet Transport, Pet Waste Removal, Pet Day Care, Pet Exercise"
Easy Shipping Worldwide,"8500 Bluevine Sky Dr, Land O Lakes, FL 34637",,(304) 884-5008,,,Pet Transport
JPX Deliveries,"17407 N 28th Ave, Phoenix, AZ 85053-1958",A,(951) 227-6129,6/6/2023,,"Trucking, Pet Transport"
Dee's Horse Transport,"4724 Marlatt Street, Mira Loma, CA 91752",A,(951) 360-3024,1/1/1997,,Pet Transport
PDX Purrfessionals,"PO Box 220363, Portland, OR 97269",A,(503) 208-5190,3/9/2023,,"Pet Sitting, Pet Transport"
"Furry First Class, LLC","1413 Simpson RD #1034, Kissimmee, FL 34744",C-,(321) 437-3244,3/31/2021,,Pet Transport
Blogging Dog Center,"9 Byron Dr, Nashua, NH 03062",A+,(585) 729-8776,1/1/2018,,"Dog Walkers, Pet Sitting, Pet Transport"
Roll-A-Pet LLC,"159 Elton Walker Rd, Blythewood, SC 29016-8113",A+,(803) 238-3692,,1,Pet Transport
4 Paws Resort & Spa,"5013 E Colonial Dr, Orlando, FL 32803-4311",A+,(407) 228-9881,5/3/2007,,"Pet Boarding, Pet Grooming, Dog Boarding, Dog Daycare, Pet Transport"
"Winter Park Paws, LLC","3700 Howell Branch Rd, Winter Park, FL 32792-1740",A+,(407) 900-9063,8/29/2018,,"Pet Sitting, Pet Services, Pet Transport, Pets, Pet Exercise"
Star Light Pet Delivery,"56 New Ave, Daytona Beach, FL 32118",,,,,Pet Transport
Express Shipping,"107 W Madison St STE 1, Baltimore, MD 21201",A+,(501) 481-5044,,,Pet Transport
Frontier Pet Cargo,"1912 Airpark Ln (INVALID), Plano, TX 75007",F,(940) 600-4134,,,
Sunshine Aussie Home,"Hurlock, MD 21643",A+,(614) 321-9323,,,Pet Transport
Blue Heaven Mini Frenchies,"234 North Blvd, Salisbury, MD 21801",F,(715) 575-5409,,,
Heartfelt Havanese Puppies,"Dundalk, MD 21222",F,(410) 874-5597,,,
Ten Waters Miniature & Toy Dachshunds,"5403 Beall Drive, Frederick, MD 21704",,(240) 454-4702,,,Pet Transport

